Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
app-create campaign suite,,,,2022-03-09 10:19:04,2022-03-09 10:19:37,33.300s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Brand campaign,,,create campaign,2022-03-09 10:19:17,2022-03-09 10:19:18,1.461s,FAILED
"openBrowser("""")",,,,2022-03-09 10:19:17,2022-03-09 10:19:18,1.429s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Reach campaign,,,create campaign,2022-03-09 10:19:23,2022-03-09 10:19:24,1.431s,FAILED
"openBrowser("""")",,,,2022-03-09 10:19:23,2022-03-09 10:19:24,1.410s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Traffic campaign,,,create campaign,2022-03-09 10:19:29,2022-03-09 10:19:31,1.464s,FAILED
"openBrowser("""")",,,,2022-03-09 10:19:29,2022-03-09 10:19:31,1.436s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Video views,,,create campaign,2022-03-09 10:19:35,2022-03-09 10:19:37,1.457s,FAILED
"openBrowser("""")",,,,2022-03-09 10:19:35,2022-03-09 10:19:37,1.428s,FAILED
