Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp with packages,,,,2022-03-14 10:29:55,2022-03-14 10:30:07,12.032s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/Sig-up email-free-from landing,,,signup,2022-03-14 10:29:56,2022-03-14 10:30:01,5.157s,FAILED
"openBrowser("""")",,,,2022-03-14 10:29:56,2022-03-14 10:30:01,4.736s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and basic,,,SignUp,2022-03-14 10:30:01,2022-03-14 10:30:02,1.729s,FAILED
"openBrowser("""")",,,,2022-03-14 10:30:01,2022-03-14 10:30:02,1.249s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and business,,,SignUp,2022-03-14 10:30:03,2022-03-14 10:30:04,1.529s,FAILED
"openBrowser("""")",,,,2022-03-14 10:30:03,2022-03-14 10:30:04,1.218s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and free,,,SignUp,2022-03-14 10:30:04,2022-03-14 10:30:06,1.617s,FAILED
"openBrowser("""")",,,,2022-03-14 10:30:04,2022-03-14 10:30:06,1.276s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and skip,,,SignUp,2022-03-14 10:30:06,2022-03-14 10:30:07,1.663s,FAILED
"openBrowser("""")",,,,2022-03-14 10:30:06,2022-03-14 10:30:07,1.288s,FAILED
