Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp with packages,,,,2022-03-15 10:16:43,2022-03-15 10:16:55,11.532s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/Sig-up email-free-from landing,,,signup,2022-03-15 10:16:43,2022-03-15 10:16:48,5.012s,FAILED
"openBrowser("""")",,,,2022-03-15 10:16:44,2022-03-15 10:16:48,4.665s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and basic,,,SignUp,2022-03-15 10:16:48,2022-03-15 10:16:50,1.577s,FAILED
"openBrowser("""")",,,,2022-03-15 10:16:49,2022-03-15 10:16:50,1.170s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and business,,,SignUp,2022-03-15 10:16:50,2022-03-15 10:16:52,1.542s,FAILED
"openBrowser("""")",,,,2022-03-15 10:16:50,2022-03-15 10:16:52,1.283s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and free,,,SignUp,2022-03-15 10:16:52,2022-03-15 10:16:53,1.559s,FAILED
"openBrowser("""")",,,,2022-03-15 10:16:52,2022-03-15 10:16:53,1.256s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and skip,,,SignUp,2022-03-15 10:16:53,2022-03-15 10:16:55,1.558s,FAILED
"openBrowser("""")",,,,2022-03-15 10:16:54,2022-03-15 10:16:55,1.157s,FAILED
