Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
app-create campaign suite,,,,2022-03-07 11:25:22,2022-03-07 11:25:48,25.370s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Brand campaign,,,create campaign,2022-03-07 11:25:30,2022-03-07 11:25:32,1.309s,FAILED
"openBrowser("""")",,,,2022-03-07 11:25:30,2022-03-07 11:25:32,1.274s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Reach campaign,,,create campaign,2022-03-07 11:25:36,2022-03-07 11:25:37,1.158s,FAILED
"openBrowser("""")",,,,2022-03-07 11:25:36,2022-03-07 11:25:37,1.139s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Traffic campaign,,,create campaign,2022-03-07 11:25:41,2022-03-07 11:25:43,1.246s,FAILED
"openBrowser("""")",,,,2022-03-07 11:25:41,2022-03-07 11:25:43,1.224s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Video views,,,create campaign,2022-03-07 11:25:46,2022-03-07 11:25:48,1.192s,FAILED
"openBrowser("""")",,,,2022-03-07 11:25:46,2022-03-07 11:25:48,1.177s,FAILED
