Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
app-create campaign suite,,,,2022-03-22 11:28:13,2022-03-22 11:28:44,31.187s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Brand campaign,,,create campaign,2022-03-22 11:28:20,2022-03-22 11:28:22,1.411s,FAILED
"openBrowser("""")",,,,2022-03-22 11:28:20,2022-03-22 11:28:22,1.379s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Reach campaign,,,create campaign,2022-03-22 11:28:26,2022-03-22 11:28:27,1.276s,FAILED
"openBrowser("""")",,,,2022-03-22 11:28:26,2022-03-22 11:28:27,1.251s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Traffic campaign,,,create campaign,2022-03-22 11:28:32,2022-03-22 11:28:33,1.218s,FAILED
"openBrowser("""")",,,,2022-03-22 11:28:32,2022-03-22 11:28:33,1.195s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Video views,,,create campaign,2022-03-22 11:28:37,2022-03-22 11:28:38,1.233s,FAILED
"openBrowser("""")",,,,2022-03-22 11:28:37,2022-03-22 11:28:38,1.212s,FAILED
,,,,,,,
Test Cases/Campaign/Create campaign/App-Create campaign/App-Brand campaign - with targeting,,,create campaign,2022-03-22 11:28:43,2022-03-22 11:28:44,1.266s,FAILED
"openBrowser("""")",,,,2022-03-22 11:28:43,2022-03-22 11:28:44,1.245s,FAILED
